,rate_code_id,RatecodeID,rate_code_name
0,0,1,standard rate
1,1,1,standard rate
2,2,1,standard rate
3,3,1,standard rate
4,4,3,newark
5,5,1,standard rate
6,6,1,standard rate
7,7,1,standard rate
8,8,1,standard rate
9,9,1,standard rate
10,10,1,standard rate
11,11,1,standard rate
12,12,1,standard rate
13,13,1,standard rate
14,14,1,standard rate
15,15,1,standard rate
16,16,1,standard rate
17,17,1,standard rate
18,18,2,JFK
19,19,1,standard rate
20,20,1,standard rate
21,21,1,standard rate
22,22,1,standard rate
23,23,1,standard rate
24,24,1,standard rate
25,25,1,standard rate
26,26,1,standard rate
27,27,1,standard rate
28,28,2,JFK
29,29,1,standard rate
30,30,1,standard rate
31,31,1,standard rate
32,32,1,standard rate
33,33,1,standard rate
34,34,1,standard rate
35,35,1,standard rate
36,36,1,standard rate
37,37,1,standard rate
38,38,1,standard rate
39,39,1,standard rate
40,40,1,standard rate
41,41,1,standard rate
42,42,1,standard rate
43,43,1,standard rate
44,44,1,standard rate
45,45,1,standard rate
46,46,1,standard rate
47,47,1,standard rate
48,48,1,standard rate
49,49,1,standard rate
50,50,1,standard rate
51,51,1,standard rate
52,52,1,standard rate
53,53,1,standard rate
54,54,1,standard rate
55,55,1,standard rate
56,56,1,standard rate
57,57,1,standard rate
58,58,1,standard rate
59,59,1,standard rate
60,60,1,standard rate
61,61,1,standard rate
62,62,1,standard rate
63,63,1,standard rate
64,64,2,JFK
65,65,1,standard rate
66,66,1,standard rate
67,67,1,standard rate
68,68,1,standard rate
69,69,1,standard rate
70,70,1,standard rate
71,71,1,standard rate
72,72,1,standard rate
73,73,1,standard rate
74,74,1,standard rate
75,75,1,standard rate
76,76,1,standard rate
77,77,1,standard rate
78,78,1,standard rate
79,79,1,standard rate
80,80,1,standard rate
81,81,1,standard rate
82,82,1,standard rate
83,83,1,standard rate
84,84,1,standard rate
85,85,1,standard rate
86,86,1,standard rate
87,87,1,standard rate
88,88,1,standard rate
89,89,1,standard rate
90,90,1,standard rate
91,91,1,standard rate
92,92,1,standard rate
93,93,1,standard rate
94,94,1,standard rate
95,95,1,standard rate
96,96,1,standard rate
97,97,1,standard rate
98,98,1,standard rate
99,99,1,standard rate
100,100,1,standard rate
101,101,1,standard rate
102,102,1,standard rate
103,103,1,standard rate
104,104,1,standard rate
105,105,1,standard rate
106,106,1,standard rate
107,107,1,standard rate
108,108,1,standard rate
109,109,1,standard rate
110,110,1,standard rate
111,111,1,standard rate
112,112,1,standard rate
113,113,1,standard rate
114,114,1,standard rate
115,115,1,standard rate
116,116,1,standard rate
117,117,1,standard rate
118,118,1,standard rate
119,119,1,standard rate
120,120,1,standard rate
121,121,1,standard rate
122,122,1,standard rate
123,123,1,standard rate
124,124,1,standard rate
125,125,1,standard rate
126,126,1,standard rate
127,127,1,standard rate
128,128,1,standard rate
129,129,5,Negotiated fare
130,130,1,standard rate
131,131,2,JFK
132,132,1,standard rate
133,133,1,standard rate
134,134,1,standard rate
135,135,2,JFK
136,136,1,standard rate
137,137,1,standard rate
138,138,1,standard rate
139,139,1,standard rate
140,140,1,standard rate
141,141,1,standard rate
142,142,1,standard rate
143,143,1,standard rate
144,144,1,standard rate
145,145,1,standard rate
146,146,1,standard rate
147,147,1,standard rate
148,148,2,JFK
149,149,1,standard rate
150,150,1,standard rate
151,151,1,standard rate
152,152,1,standard rate
153,153,1,standard rate
154,154,1,standard rate
155,155,1,standard rate
156,156,1,standard rate
157,157,1,standard rate
158,158,1,standard rate
159,159,1,standard rate
160,160,1,standard rate
161,161,1,standard rate
162,162,1,standard rate
163,163,1,standard rate
164,164,1,standard rate
165,165,1,standard rate
166,166,1,standard rate
167,167,1,standard rate
168,168,1,standard rate
169,169,1,standard rate
170,170,2,JFK
171,171,1,standard rate
172,172,1,standard rate
173,173,1,standard rate
174,174,1,standard rate
175,175,1,standard rate
176,176,1,standard rate
177,177,1,standard rate
178,178,1,standard rate
179,179,1,standard rate
180,180,1,standard rate
181,181,1,standard rate
182,182,1,standard rate
183,183,1,standard rate
184,184,1,standard rate
185,185,1,standard rate
186,186,1,standard rate
187,187,1,standard rate
188,188,1,standard rate
189,189,1,standard rate
190,190,1,standard rate
191,191,1,standard rate
192,192,1,standard rate
193,193,1,standard rate
194,194,1,standard rate
195,195,1,standard rate
196,196,1,standard rate
197,197,1,standard rate
198,198,1,standard rate
199,199,1,standard rate
200,200,1,standard rate
201,201,1,standard rate
202,202,1,standard rate
203,203,1,standard rate
204,204,1,standard rate
205,205,1,standard rate
206,206,1,standard rate
207,207,1,standard rate
208,208,1,standard rate
209,209,1,standard rate
210,210,1,standard rate
211,211,1,standard rate
212,212,1,standard rate
213,213,1,standard rate
214,214,1,standard rate
215,215,5,Negotiated fare
216,216,1,standard rate
217,217,1,standard rate
218,218,2,JFK
219,219,1,standard rate
220,220,1,standard rate
221,221,1,standard rate
222,222,1,standard rate
223,223,1,standard rate
224,224,1,standard rate
225,225,1,standard rate
226,226,1,standard rate
227,227,1,standard rate
228,228,1,standard rate
229,229,1,standard rate
230,230,1,standard rate
231,231,2,JFK
232,232,1,standard rate
233,233,1,standard rate
234,234,1,standard rate
235,235,1,standard rate
236,236,1,standard rate
237,237,1,standard rate
238,238,1,standard rate
239,239,1,standard rate
240,240,1,standard rate
241,241,1,standard rate
242,242,1,standard rate
243,243,1,standard rate
244,244,1,standard rate
245,245,1,standard rate
246,246,1,standard rate
247,247,1,standard rate
248,248,1,standard rate
249,249,1,standard rate
250,250,1,standard rate
251,251,1,standard rate
252,252,1,standard rate
253,253,1,standard rate
254,254,1,standard rate
255,255,1,standard rate
256,256,1,standard rate
257,257,2,JFK
258,258,1,standard rate
259,259,1,standard rate
260,260,1,standard rate
261,261,1,standard rate
262,262,1,standard rate
263,263,1,standard rate
264,264,1,standard rate
265,265,1,standard rate
266,266,1,standard rate
267,267,1,standard rate
268,268,1,standard rate
269,269,1,standard rate
270,270,1,standard rate
271,271,1,standard rate
272,272,1,standard rate
273,273,1,standard rate
274,274,1,standard rate
275,275,1,standard rate
276,276,1,standard rate
277,277,1,standard rate
278,278,1,standard rate
279,279,1,standard rate
280,280,1,standard rate
281,281,1,standard rate
282,282,1,standard rate
283,283,1,standard rate
284,284,1,standard rate
285,285,1,standard rate
286,286,1,standard rate
287,287,1,standard rate
288,288,1,standard rate
289,289,1,standard rate
290,290,1,standard rate
291,291,1,standard rate
292,292,1,standard rate
293,293,1,standard rate
294,294,1,standard rate
295,295,1,standard rate
296,296,1,standard rate
297,297,1,standard rate
298,298,1,standard rate
299,299,1,standard rate
300,300,1,standard rate
301,301,1,standard rate
302,302,1,standard rate
303,303,1,standard rate
304,304,1,standard rate
305,305,1,standard rate
306,306,1,standard rate
307,307,1,standard rate
308,308,1,standard rate
309,309,1,standard rate
310,310,1,standard rate
311,311,1,standard rate
312,312,1,standard rate
313,313,1,standard rate
314,314,1,standard rate
315,315,1,standard rate
316,316,1,standard rate
317,317,1,standard rate
318,318,1,standard rate
319,319,1,standard rate
320,320,1,standard rate
321,321,1,standard rate
322,322,1,standard rate
323,323,1,standard rate
324,324,1,standard rate
325,325,1,standard rate
326,326,1,standard rate
327,327,1,standard rate
328,328,2,JFK
329,329,1,standard rate
330,330,1,standard rate
331,331,1,standard rate
332,332,1,standard rate
333,333,1,standard rate
334,334,1,standard rate
335,335,1,standard rate
336,336,1,standard rate
337,337,1,standard rate
338,338,1,standard rate
339,339,1,standard rate
340,340,1,standard rate
341,341,1,standard rate
342,342,1,standard rate
343,343,1,standard rate
344,344,1,standard rate
345,345,1,standard rate
346,346,1,standard rate
347,347,1,standard rate
348,348,1,standard rate
349,349,1,standard rate
350,350,1,standard rate
351,351,2,JFK
352,352,1,standard rate
353,353,2,JFK
354,354,1,standard rate
355,355,1,standard rate
356,356,1,standard rate
357,357,1,standard rate
358,358,1,standard rate
359,359,1,standard rate
360,360,1,standard rate
361,361,1,standard rate
362,362,1,standard rate
363,363,1,standard rate
364,364,1,standard rate
365,365,1,standard rate
366,366,1,standard rate
367,367,1,standard rate
368,368,1,standard rate
369,369,1,standard rate
370,370,1,standard rate
371,371,1,standard rate
372,372,1,standard rate
373,373,1,standard rate
374,374,1,standard rate
375,375,1,standard rate
376,376,1,standard rate
377,377,1,standard rate
378,378,1,standard rate
379,379,1,standard rate
380,380,1,standard rate
381,381,1,standard rate
382,382,1,standard rate
383,383,1,standard rate
384,384,1,standard rate
385,385,1,standard rate
386,386,1,standard rate
387,387,1,standard rate
388,388,1,standard rate
389,389,1,standard rate
390,390,1,standard rate
391,391,1,standard rate
392,392,1,standard rate
393,393,1,standard rate
394,394,1,standard rate
395,395,1,standard rate
396,396,1,standard rate
397,397,1,standard rate
398,398,1,standard rate
399,399,1,standard rate
400,400,1,standard rate
401,401,1,standard rate
402,402,1,standard rate
403,403,1,standard rate
404,404,1,standard rate
405,405,1,standard rate
406,406,1,standard rate
407,407,1,standard rate
408,408,1,standard rate
409,409,1,standard rate
410,410,1,standard rate
411,411,1,standard rate
412,412,1,standard rate
413,413,2,JFK
414,414,1,standard rate
415,415,1,standard rate
416,416,1,standard rate
417,417,1,standard rate
418,418,1,standard rate
419,419,1,standard rate
420,420,1,standard rate
421,421,1,standard rate
422,422,1,standard rate
423,423,2,JFK
424,424,1,standard rate
425,425,1,standard rate
426,426,1,standard rate
427,427,2,JFK
428,428,1,standard rate
429,429,1,standard rate
430,430,1,standard rate
431,431,1,standard rate
432,432,1,standard rate
433,433,1,standard rate
434,434,1,standard rate
435,435,1,standard rate
436,436,2,JFK
437,437,1,standard rate
438,438,1,standard rate
439,439,1,standard rate
440,440,1,standard rate
441,441,1,standard rate
442,442,1,standard rate
443,443,1,standard rate
444,444,1,standard rate
445,445,1,standard rate
446,446,1,standard rate
447,447,1,standard rate
448,448,1,standard rate
449,449,1,standard rate
450,450,1,standard rate
451,451,1,standard rate
452,452,1,standard rate
453,453,1,standard rate
454,454,1,standard rate
455,455,1,standard rate
456,456,1,standard rate
457,457,1,standard rate
458,458,1,standard rate
459,459,2,JFK
460,460,1,standard rate
461,461,1,standard rate
462,462,3,newark
463,463,1,standard rate
464,464,1,standard rate
465,465,1,standard rate
466,466,1,standard rate
467,467,1,standard rate
468,468,1,standard rate
469,469,1,standard rate
470,470,1,standard rate
471,471,1,standard rate
472,472,1,standard rate
473,473,1,standard rate
474,474,1,standard rate
475,475,1,standard rate
476,476,1,standard rate
477,477,2,JFK
478,478,3,newark
479,479,1,standard rate
480,480,1,standard rate
481,481,1,standard rate
482,482,1,standard rate
483,483,1,standard rate
484,484,1,standard rate
485,485,1,standard rate
486,486,1,standard rate
487,487,1,standard rate
488,488,1,standard rate
489,489,1,standard rate
490,490,1,standard rate
491,491,1,standard rate
492,492,1,standard rate
493,493,1,standard rate
494,494,1,standard rate
495,495,1,standard rate
496,496,1,standard rate
497,497,1,standard rate
498,498,1,standard rate
499,499,1,standard rate
500,500,1,standard rate
501,501,1,standard rate
502,502,1,standard rate
503,503,1,standard rate
504,504,1,standard rate
505,505,1,standard rate
506,506,1,standard rate
507,507,1,standard rate
508,508,1,standard rate
509,509,1,standard rate
510,510,1,standard rate
511,511,1,standard rate
512,512,1,standard rate
513,513,2,JFK
514,514,1,standard rate
515,515,1,standard rate
516,516,1,standard rate
517,517,1,standard rate
518,518,1,standard rate
519,519,1,standard rate
520,520,1,standard rate
521,521,2,JFK
522,522,1,standard rate
523,523,1,standard rate
524,524,1,standard rate
525,525,1,standard rate
526,526,1,standard rate
527,527,1,standard rate
528,528,1,standard rate
529,529,1,standard rate
530,530,1,standard rate
531,531,1,standard rate
532,532,1,standard rate
533,533,1,standard rate
534,534,1,standard rate
535,535,1,standard rate
536,536,1,standard rate
537,537,1,standard rate
538,538,1,standard rate
539,539,1,standard rate
540,540,1,standard rate
541,541,1,standard rate
542,542,2,JFK
543,543,2,JFK
544,544,1,standard rate
545,545,1,standard rate
546,546,1,standard rate
547,547,1,standard rate
548,548,1,standard rate
549,549,1,standard rate
550,550,1,standard rate
551,551,1,standard rate
552,552,1,standard rate
553,553,1,standard rate
554,554,1,standard rate
555,555,1,standard rate
556,556,1,standard rate
557,557,1,standard rate
558,558,1,standard rate
559,559,1,standard rate
560,560,1,standard rate
561,561,1,standard rate
562,562,1,standard rate
563,563,1,standard rate
564,564,1,standard rate
565,565,1,standard rate
566,566,1,standard rate
567,567,1,standard rate
568,568,1,standard rate
569,569,1,standard rate
570,570,1,standard rate
571,571,1,standard rate
572,572,1,standard rate
573,573,1,standard rate
574,574,1,standard rate
575,575,1,standard rate
576,576,1,standard rate
577,577,1,standard rate
578,578,1,standard rate
579,579,1,standard rate
580,580,1,standard rate
581,581,1,standard rate
582,582,1,standard rate
583,583,5,Negotiated fare
584,584,1,standard rate
585,585,1,standard rate
586,586,1,standard rate
587,587,1,standard rate
588,588,1,standard rate
589,589,1,standard rate
590,590,1,standard rate
591,591,1,standard rate
592,592,1,standard rate
593,593,1,standard rate
594,594,2,JFK
595,595,1,standard rate
596,596,1,standard rate
597,597,1,standard rate
598,598,1,standard rate
599,599,1,standard rate
600,600,1,standard rate
601,601,1,standard rate
602,602,1,standard rate
603,603,1,standard rate
604,604,1,standard rate
605,605,1,standard rate
606,606,1,standard rate
607,607,1,standard rate
608,608,1,standard rate
609,609,2,JFK
610,610,1,standard rate
611,611,2,JFK
612,612,1,standard rate
613,613,1,standard rate
614,614,1,standard rate
615,615,1,standard rate
616,616,1,standard rate
617,617,1,standard rate
618,618,1,standard rate
619,619,1,standard rate
620,620,1,standard rate
621,621,1,standard rate
622,622,1,standard rate
623,623,1,standard rate
624,624,1,standard rate
625,625,2,JFK
626,626,2,JFK
627,627,1,standard rate
628,628,1,standard rate
629,629,1,standard rate
630,630,1,standard rate
631,631,1,standard rate
632,632,1,standard rate
633,633,1,standard rate
634,634,1,standard rate
635,635,1,standard rate
636,636,1,standard rate
637,637,1,standard rate
638,638,1,standard rate
639,639,1,standard rate
640,640,1,standard rate
641,641,1,standard rate
642,642,1,standard rate
643,643,2,JFK
644,644,1,standard rate
645,645,1,standard rate
646,646,1,standard rate
647,647,1,standard rate
648,648,1,standard rate
649,649,1,standard rate
650,650,1,standard rate
651,651,1,standard rate
652,652,1,standard rate
653,653,1,standard rate
654,654,1,standard rate
655,655,1,standard rate
656,656,1,standard rate
657,657,1,standard rate
658,658,1,standard rate
659,659,1,standard rate
660,660,2,JFK
661,661,1,standard rate
662,662,1,standard rate
663,663,1,standard rate
664,664,1,standard rate
665,665,1,standard rate
666,666,1,standard rate
667,667,1,standard rate
668,668,1,standard rate
669,669,1,standard rate
670,670,1,standard rate
671,671,1,standard rate
672,672,1,standard rate
673,673,1,standard rate
674,674,1,standard rate
675,675,2,JFK
676,676,1,standard rate
677,677,1,standard rate
678,678,1,standard rate
679,679,1,standard rate
680,680,1,standard rate
681,681,1,standard rate
682,682,1,standard rate
683,683,1,standard rate
684,684,1,standard rate
685,685,1,standard rate
686,686,1,standard rate
687,687,1,standard rate
688,688,1,standard rate
689,689,1,standard rate
690,690,1,standard rate
691,691,1,standard rate
692,692,1,standard rate
693,693,1,standard rate
694,694,1,standard rate
695,695,1,standard rate
696,696,1,standard rate
697,697,1,standard rate
698,698,1,standard rate
699,699,1,standard rate
700,700,1,standard rate
701,701,1,standard rate
702,702,1,standard rate
703,703,1,standard rate
704,704,1,standard rate
705,705,1,standard rate
706,706,1,standard rate
707,707,1,standard rate
708,708,1,standard rate
709,709,1,standard rate
710,710,1,standard rate
711,711,1,standard rate
712,712,1,standard rate
713,713,1,standard rate
714,714,1,standard rate
715,715,1,standard rate
716,716,1,standard rate
717,717,1,standard rate
718,718,1,standard rate
719,719,1,standard rate
720,720,1,standard rate
721,721,1,standard rate
722,722,1,standard rate
723,723,1,standard rate
724,724,1,standard rate
725,725,1,standard rate
726,726,1,standard rate
727,727,1,standard rate
728,728,1,standard rate
729,729,1,standard rate
730,730,1,standard rate
731,731,1,standard rate
732,732,1,standard rate
733,733,1,standard rate
734,734,1,standard rate
735,735,1,standard rate
736,736,1,standard rate
737,737,1,standard rate
738,738,1,standard rate
739,739,1,standard rate
740,740,1,standard rate
741,741,1,standard rate
742,742,1,standard rate
743,743,1,standard rate
744,744,1,standard rate
745,745,1,standard rate
746,746,1,standard rate
747,747,1,standard rate
748,748,1,standard rate
749,749,1,standard rate
750,750,1,standard rate
751,751,1,standard rate
752,752,1,standard rate
753,753,1,standard rate
754,754,1,standard rate
755,755,1,standard rate
756,756,1,standard rate
757,757,1,standard rate
758,758,1,standard rate
759,759,1,standard rate
760,760,1,standard rate
761,761,1,standard rate
762,762,1,standard rate
763,763,1,standard rate
764,764,1,standard rate
765,765,1,standard rate
766,766,1,standard rate
767,767,1,standard rate
768,768,1,standard rate
769,769,1,standard rate
770,770,2,JFK
771,771,2,JFK
772,772,1,standard rate
773,773,1,standard rate
774,774,1,standard rate
775,775,1,standard rate
776,776,1,standard rate
777,777,1,standard rate
778,778,1,standard rate
779,779,1,standard rate
780,780,1,standard rate
781,781,1,standard rate
782,782,1,standard rate
783,783,1,standard rate
784,784,1,standard rate
785,785,1,standard rate
786,786,1,standard rate
787,787,1,standard rate
788,788,1,standard rate
789,789,1,standard rate
790,790,1,standard rate
791,791,1,standard rate
792,792,1,standard rate
793,793,1,standard rate
794,794,1,standard rate
795,795,1,standard rate
796,796,1,standard rate
797,797,1,standard rate
798,798,1,standard rate
799,799,1,standard rate
800,800,1,standard rate
801,801,1,standard rate
802,802,1,standard rate
803,803,1,standard rate
804,804,1,standard rate
805,805,1,standard rate
806,806,1,standard rate
807,807,1,standard rate
808,808,1,standard rate
809,809,1,standard rate
