,trip_distance_id,trip_distance
0,0,2.5
1,1,2.9
2,2,19.98
3,3,10.78
4,4,30.43
5,5,5.92
6,6,5.72
7,7,6.2
8,8,0.7
9,9,7.18
10,10,0.54
11,11,1.7
12,12,1.1
13,13,2.1
14,14,8.54
15,15,2.0
16,16,3.2
17,17,1.59
18,18,16.81
19,19,0.5
20,20,0.6
21,21,9.9
22,22,0.8
23,23,0.49
24,24,5.31
25,25,3.5
26,26,9.14
27,27,2.17
28,28,18.03
29,29,1.0
30,30,11.53
31,31,4.26
32,32,2.66
33,33,1.7
34,34,2.4
35,35,1.0
36,36,3.7
37,37,1.3
38,38,9.2
39,39,0.79
40,40,0.95
41,41,6.9
42,42,4.26
43,43,3.11
44,44,3.8
45,45,2.8
46,46,1.21
47,47,1.31
48,48,2.7
49,49,5.39
50,50,2.82
51,51,2.07
52,52,7.7
53,53,5.1
54,54,3.34
55,55,2.69
56,56,0.71
57,57,1.42
58,58,4.28
59,59,1.84
60,60,3.95
61,61,3.65
62,62,9.46
63,63,0.48
64,64,19.35
65,65,11.25
66,66,2.2
67,67,4.65
68,68,1.8
69,69,10.34
70,70,1.1
71,71,6.8
72,72,1.4
73,73,6.3
74,74,5.52
75,75,0.6
76,76,3.4
77,77,9.79
78,78,1.04
79,79,10.2
80,80,2.54
81,81,1.32
82,82,1.51
83,83,1.4
84,84,1.3
85,85,1.16
86,86,0.89
87,87,7.06
88,88,5.57
89,89,0.99
90,90,0.6
91,91,2.81
92,92,2.45
93,93,2.61
94,94,1.0
95,95,0.73
96,96,1.92
97,97,3.25
98,98,4.83
99,99,2.46
100,100,2.8
101,101,0.8
102,102,2.85
103,103,4.33
104,104,5.06
105,105,0.54
106,106,1.1
107,107,9.5
108,108,0.55
109,109,1.5
110,110,2.4
111,111,1.2
112,112,5.4
113,113,1.43
114,114,2.99
115,115,0.46
116,116,2.91
117,117,3.4
118,118,0.9
119,119,1.32
120,120,1.0
121,121,4.76
122,122,4.51
123,123,1.42
124,124,2.3
125,125,0.5
126,126,5.66
127,127,1.47
128,128,2.8
129,129,18.34
130,130,1.74
131,131,20.2
132,132,0.9
133,133,3.37
134,134,1.2
135,135,18.95
136,136,2.5
137,137,3.32
138,138,3.9
139,139,0.2
140,140,2.81
141,141,7.91
142,142,2.9
143,143,10.0
144,144,1.07
145,145,9.1
146,146,0.5
147,147,0.7
148,148,18.9
149,149,0.7
150,150,1.47
151,151,0.58
152,152,2.59
153,153,5.98
154,154,1.1
155,155,0.42
156,156,9.55
157,157,0.35
158,158,8.97
159,159,3.49
160,160,1.53
161,161,3.77
162,162,0.9
163,163,0.7
164,164,1.65
165,165,2.46
166,166,1.96
167,167,1.6
168,168,5.14
169,169,2.51
170,170,18.3
171,171,3.3
172,172,3.2
173,173,0.93
174,174,3.22
175,175,2.23
176,176,4.44
177,177,11.43
178,178,1.0
179,179,1.37
180,180,2.38
181,181,0.73
182,182,0.79
183,183,1.91
184,184,2.31
185,185,0.49
186,186,1.07
187,187,1.33
188,188,1.42
189,189,4.09
190,190,4.14
191,191,6.94
192,192,0.92
193,193,1.4
194,194,2.36
195,195,1.56
196,196,2.3
197,197,2.19
198,198,3.87
199,199,1.13
200,200,1.19
201,201,1.22
202,202,1.5
203,203,1.03
204,204,0.85
205,205,4.94
206,206,1.15
207,207,1.15
208,208,2.77
209,209,2.72
210,210,0.41
211,211,1.47
212,212,0.75
213,213,1.62
214,214,0.88
215,215,4.84
216,216,0.49
217,217,0.3
218,218,17.49
219,219,1.96
220,220,1.16
221,221,1.63
222,222,1.02
223,223,3.17
224,224,11.15
225,225,1.0
226,226,12.59
227,227,2.67
228,228,1.0
229,229,0.83
230,230,0.53
231,231,18.04
232,232,3.28
233,233,2.05
234,234,0.94
235,235,0.72
236,236,1.18
237,237,1.57
238,238,4.85
239,239,0.56
240,240,0.42
241,241,1.4
242,242,2.58
243,243,2.89
244,244,2.55
245,245,0.61
246,246,1.06
247,247,1.13
248,248,1.26
249,249,3.05
250,250,12.92
251,251,1.28
252,252,2.01
253,253,5.54
254,254,0.86
255,255,0.54
256,256,0.48
257,257,15.18
258,258,1.04
259,259,3.14
260,260,3.13
261,261,2.94
262,262,4.79
263,263,2.53
264,264,0.73
265,265,2.02
266,266,1.15
267,267,1.65
268,268,1.74
269,269,2.69
270,270,4.21
271,271,2.17
272,272,2.01
273,273,0.67
274,274,6.38
275,275,1.08
276,276,0.61
277,277,7.4
278,278,0.5
279,279,2.38
280,280,1.29
281,281,1.41
282,282,1.34
283,283,1.47
284,284,7.45
285,285,5.59
286,286,1.43
287,287,2.04
288,288,1.36
289,289,1.59
290,290,0.94
291,291,3.62
292,292,2.53
293,293,1.6
294,294,0.72
295,295,0.77
296,296,1.12
297,297,1.3
298,298,2.44
299,299,3.38
300,300,1.62
301,301,0.8
302,302,1.51
303,303,10.17
304,304,1.23
305,305,4.19
306,306,4.84
307,307,1.8
308,308,3.38
309,309,2.28
310,310,3.54
311,311,2.09
312,312,1.95
313,313,2.08
314,314,1.3
315,315,0.9
316,316,2.66
317,317,0.53
318,318,9.1
319,319,1.23
320,320,1.31
321,321,10.42
322,322,5.83
323,323,1.22
324,324,1.78
325,325,6.05
326,326,0.58
327,327,1.09
328,328,17.43
329,329,4.6
330,330,0.84
331,331,2.62
332,332,3.79
333,333,1.93
334,334,0.72
335,335,1.97
336,336,0.74
337,337,0.79
338,338,6.71
339,339,1.5
340,340,0.8
341,341,4.66
342,342,13.28
343,343,1.29
344,344,6.81
345,345,1.26
346,346,1.44
347,347,3.08
348,348,0.61
349,349,3.91
350,350,6.24
351,351,16.28
352,352,1.16
353,353,0.01
354,354,0.0
355,355,4.29
356,356,2.64
357,357,1.08
358,358,1.95
359,359,1.29
360,360,1.66
361,361,0.59
362,362,2.39
363,363,0.61
364,364,10.29
365,365,8.81
366,366,3.5
367,367,0.55
368,368,5.16
369,369,2.49
370,370,2.4
371,371,0.82
372,372,0.97
373,373,1.11
374,374,1.44
375,375,0.85
376,376,1.92
377,377,6.75
378,378,8.17
379,379,2.53
380,380,0.71
381,381,1.1
382,382,0.39
383,383,2.94
384,384,2.82
385,385,1.46
386,386,2.76
387,387,4.05
388,388,5.51
389,389,3.57
390,390,2.04
391,391,2.88
392,392,2.46
393,393,1.15
394,394,0.59
395,395,1.04
396,396,2.59
397,397,2.39
398,398,2.36
399,399,0.54
400,400,0.87
401,401,0.72
402,402,0.43
403,403,4.76
404,404,0.52
405,405,1.25
406,406,0.69
407,407,0.69
408,408,1.13
409,409,0.94
410,410,1.17
411,411,0.71
412,412,1.99
413,413,18.85
414,414,1.26
415,415,1.26
416,416,0.92
417,417,2.2
418,418,2.09
419,419,2.16
420,420,2.56
421,421,6.03
422,422,8.35
423,423,17.17
424,424,3.65
425,425,2.17
426,426,0.99
427,427,19.57
428,428,3.06
429,429,2.43
430,430,2.36
431,431,2.54
432,432,9.7
433,433,1.02
434,434,0.02
435,435,4.81
436,436,17.47
437,437,1.47
438,438,1.61
439,439,3.03
440,440,0.8
441,441,5.56
442,442,3.57
443,443,2.45
444,444,3.85
445,445,2.13
446,446,8.91
447,447,1.65
448,448,7.82
449,449,1.04
450,450,9.66
451,451,1.69
452,452,0.65
453,453,4.75
454,454,1.84
455,455,2.87
456,456,1.84
457,457,2.34
458,458,2.14
459,459,22.0
460,460,4.69
461,461,1.06
462,462,13.27
463,463,1.18
464,464,1.97
465,465,2.13
466,466,2.15
467,467,1.81
468,468,0.81
469,469,2.55
470,470,1.3
471,471,1.97
472,472,1.4
473,473,0.92
474,474,3.1
475,475,1.25
476,476,1.2
477,477,18.67
478,478,18.05
479,479,8.74
480,480,0.86
481,481,12.76
482,482,1.27
483,483,4.63
484,484,3.35
485,485,0.83
486,486,2.3
487,487,3.52
488,488,2.12
489,489,0.71
490,490,2.89
491,491,1.73
492,492,1.05
493,493,2.1
494,494,2.22
495,495,2.81
496,496,1.51
497,497,5.32
498,498,3.68
499,499,1.37
500,500,1.87
501,501,3.02
502,502,1.54
503,503,6.5
504,504,1.03
505,505,0.85
506,506,4.1
507,507,1.36
508,508,3.91
509,509,6.53
510,510,1.93
511,511,1.25
512,512,1.56
513,513,20.6
514,514,0.46
515,515,2.35
516,516,1.28
517,517,2.79
518,518,1.69
519,519,2.34
520,520,0.02
521,521,18.23
522,522,0.77
523,523,1.48
524,524,3.82
525,525,1.15
526,526,8.95
527,527,1.49
528,528,1.24
529,529,2.78
530,530,1.01
531,531,0.04
532,532,4.56
533,533,2.78
534,534,2.03
535,535,2.58
536,536,2.33
537,537,0.86
538,538,1.88
539,539,0.58
540,540,0.64
541,541,2.1
542,542,18.81
543,543,17.36
544,544,1.53
545,545,5.5
546,546,2.41
547,547,0.98
548,548,1.15
549,549,2.75
550,550,3.94
551,551,2.94
552,552,0.77
553,553,1.26
554,554,5.02
555,555,0.86
556,556,0.85
557,557,0.68
558,558,2.61
559,559,3.67
560,560,2.59
561,561,4.4
562,562,4.92
563,563,0.79
564,564,1.11
565,565,3.29
566,566,14.76
567,567,0.75
568,568,1.46
569,569,12.39
570,570,0.89
571,571,1.33
572,572,0.5
573,573,5.78
574,574,0.99
575,575,6.76
576,576,2.61
577,577,5.13
578,578,0.96
579,579,2.95
580,580,2.67
581,581,2.99
582,582,4.2
583,583,11.43
584,584,2.55
585,585,3.9
586,586,2.68
587,587,2.31
588,588,1.99
589,589,1.33
590,590,13.92
591,591,1.57
592,592,1.5
593,593,2.44
594,594,19.02
595,595,6.36
596,596,1.57
597,597,2.11
598,598,1.55
599,599,1.5
